scenario,mode,category,test_name,cluster_size,repetition,size_bytes,time_ms
tpcc_sf_10,strong,arrangement_formation,create_index,100cc,0,7400783934,183450
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,0,7400789951,108
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,1,7400794025,107
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,2,7400797309,107
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,3,7400799776,107
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,4,7400801290,107
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,5,7400804103,108
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,6,7400806489,108
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,7,7400809826,107
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,8,7400812726,411
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,100cc,9,7400813120,412
tpcc_sf_10,strong,peek_serving,peek_index_non_key_fast_path,100cc,0,7400839156,20652
tpcc_sf_10,strong,arrangement_formation,index_restart,100cc,0,7398388394,190005
tpcc_sf_10,strong,arrangement_formation,create_index,200cc,0,7398783098,96806
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,0,7398788637,108
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,1,7398792754,213
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,2,7398794827,108
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,3,7398797532,108
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,4,7398798838,108
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,5,7398802300,109
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,6,7398804878,108
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,7,7398808627,107
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,8,7398813804,107
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,200cc,9,7398816129,109
tpcc_sf_10,strong,peek_serving,peek_index_non_key_fast_path,200cc,0,7398827103,10132
tpcc_sf_10,strong,arrangement_formation,index_restart,200cc,0,7399651661,106254
tpcc_sf_10,strong,arrangement_formation,create_index,400cc,0,7393657046,57015
tpcc_sf_10,strong,peek_serving,peek_index_key_fast_path,400cc,0,7393663621,113
